18,黄飞鸿之英雄有梦,3
18,撒娇女人最好命,4
18,我的早更女友,3
18,Interstellar,5
18,單身男女II,4
18,黄金时代,4
18,心花路放,4
18,亲爱的,4
18,白发魔女传之明月天国,2
18,后会无期,4
18,笔仙3,3
18,分手大师,3
18,Nymphomaniac: Volume I,4
18,Transformers: Age of Extinction,4
18,Fargo,5
19,猛鬼屠房,3
19,みんな～やってるか!,4
19,図書館戦争,3
19,寝ずの番,4
19,ジャッジ！,4
19,一命,3
19,踊る大搜查線 THE MOVIE,4
19,ピンポン,4
19,シコふんじゃった。,5
19,踊る大捜査線 THE FINAL 新たなる希望,5
19,Dolls,5
19,ヒミズ,3
19,龍の子太郎,5
19,サヨナライツカ,3
19,ロボジー,4
9999,Edge of Tomorrow,5
9999,Lucy,5
9999,Life of Pi,5
9999,The Artist,5
9999,Edge of Tomorrow,5
9999,Lucy,5
9999,Lucy,5
9999,X-Men: Days of Future Past,5
9999,Edge of Tomorrow,5
9999,Edge of Tomorrow,5
9999,Edge of Tomorrow,5
9999,Lucy,5
9999,Edge of Tomorrow,5
9999,Lucy,5
9999,Edge of Tomorrow,5
9999,Lucy,5
